[P Utseya (ZIM), 16.73, 58.34, 10.652, 3.03030]
[Waqar Younis (PAK), 10.3, 67.05, 6.971, 0.00000]
[A Kumble (Asia/INDIA), 10.53, 61.06, 6.897, 0.00000]
[JR Ratnayeke (SL), 14.98, 52.45, 11.942, 1.44928]
[Saqlain Mushtaq (PAK), 11.85, 49.58, 7.255, 0.00000]
[CEL Ambrose (WI), 10.65, 64.87, 6.656, 0.00000]
[D Gough (ENG/ICC), 12.42, 64.3, 7.000, 0.00000]
[Mansoor Akhtar (PAK), 17.44, 51.65, 16.943, 0.00000]
[AO Suji (KENYA), 12.97, 51.79, 11.000, 2.17391]
[Minhajul Abedin (BDESH), 18.87, 49.83, 17.423, 7.69231]
[AH Omarshah (ZIM), 16.8, 50.81, 15.607, 3.57143]
[GB Brent (ZIM), 12, 58.45, 7.556, 1.85185]
[RW Price (ZIM), 9.66, 57.91, 6.881, 0.00000]
[IR Bishop (WI), 16.2, 52.19, 9.205, 0.00000]
[Mushtaq Ahmed (PAK), 9.5, 57.16, 5.250, 0.00000]
[PJ Ongondo (Afr/KENYA), 9.09, 62.96, 6.306, 0.00000]
[MH Dekker (ZIM), 18.95, 47.49, 17.227, 9.09091]
[Al Sahariar (BDESH), 13.35, 52.75, 12.897, 6.89655]
[DS de Silva (SL), 19.52, 53.69, 12.793, 0.00000]
[DW Steyn (Afr/SA), 9.35, 64.94, 7.157, 1.96078]
[Mushfiqur Rahman (BDESH), 16.36, 52.17, 14.400, 0.00000]
[BJ Patel (KENYA), 16.36, 48.91, 14.400, 0.00000]
[GP Wickramasinghe (SL), 8.6, 63.35, 5.375, 0.00000]
[SD Outerbridge (BMUDA), 14.6, 54.9, 14.609, 4.34783]
[Tapash Baisya (BDESH), 12, 58.33, 8.195, 0.00000]
[Manjural Islam Rana (BDESH), 20.68, 49.55, 15.762, 4.76190]
[ZE Surkari (CAN), 17.26, 50, 14.909, 0.00000]
[ML Nkala (ZIM), 10.8, 61.59, 9.257, 0.00000]
[Saeed Ajmal (PAK), 7.04, 60.56, 4.629, 0.00000]
[Mohammad Sami (PAK), 11.62, 64.08, 6.826, 0.00000]
[KAJ Roach (WI), 13.39, 53.47, 5.404, 0.00000]
[Sanwar Hossain (BDESH), 11.6, 48.57, 10.741, 3.70370]
[IDR Bradshaw (WI), 12.47, 59.79, 8.441, 0.00000]
[JAR Blain (SCOT), 14.94, 54.93, 11.360, 0.00000]
[Mehrab Hossain jnr (BDESH), 17.25, 42.99, 17.250, 6.25000]
[JM Anderson (ENG), 7.58, 48.66, 3.456, 0.00000]
[DT Tiripano (ZIM), 16.93, 57.9, 12.318, 0.00000]
[Aaqib Javed (PAK), 10.68, 58.55, 5.235, 0.00000]
[CA Soper (PNG), 17.66, 53.42, 13.947, 0.00000]
[Ahmed Raza (UAE), 12.9, 55.72, 10.750, 4.16667]
[HA Varaiya (KENYA), 12, 51.53, 6.632, 0.00000]
[AR Caddick (ENG), 12.45, 63.03, 6.553, 0.00000]
[MA Suji (KENYA), 8.23, 46.95, 4.750, 0.00000]
[RAS Lakmal (SL), 9.38, 60.39, 5.083, 0.00000]
[Hasan Raza (PAK), 18.61, 50.41, 18.615, 7.69231]
[CRD Fernando (Asia/SL), 9.19, 60.96, 3.918, 0.00000]
[J Garner (WI), 9.19, 66.38, 5.829, 0.00000]
[T Panyangara (ZIM), 6.63, 51.61, 4.878, 0.00000]
[Enamul Haque (BDESH), 11.23, 49.26, 9.077, 0.00000]
[Iftikhar Anjum (PAK), 15.6, 61.9, 6.882, 0.00000]
[AME Roberts (WI), 10.04, 64.7, 7.219, 0.00000]
[AY Karim (KENYA), 12.66, 60.8, 9.500, 4.16667]
[M Dillon (WI), 7.32, 55.23, 4.451, 0.00000]
[KM Jarvis (ZIM), 9.65, 65.87, 6.727, 0.00000]
[BKV Prasad (INDIA), 6.9, 60.21, 3.508, 0.00000]
[Sarfraz Nawaz (PAK), 9.6, 64.05, 7.129, 0.00000]
[Wasim Bari (PAK), 17, 51.27, 8.500, 0.00000]
[NR Kumar (CAN), 15.5, 54.65, 14.467, 0.00000]
[CPH Ramanayake (SL), 10, 56.14, 6.000, 0.00000]
[DL Bairstow (ENG), 14.71, 52.82, 10.300, 0.00000]
[PE McEwan (NZ), 13.6, 58.95, 13.600, 0.00000]
[JA Rennie (ZIM), 13.4, 51.4, 7.444, 0.00000]
[M Ntini (ICC/SA), 8.65, 66.77, 4.234, 0.00000]
[Ijaz Faqih (PAK), 12.31, 56.12, 10.368, 0.00000]
[GA Lamb (ZIM), 17.9, 51.7, 14.071, 0.00000]
[T Maruma (ZIM), 11.52, 59.39, 10.889, 0.00000]
[Simi Singh (IRE), 14.84, 58.13, 13.786, 0.00000]
[CJ McKay (AUS), 9.04, 56.37, 6.129, 0.00000]
[TJ Murtagh (IRE), 7.83, 63.08, 5.222, 0.00000]
[T Mupariwa (ZIM), 8.4, 56.92, 5.781, 0.00000]
[JR Thomson (AUS), 7.54, 64.64, 6.033, 0.00000]
[DG Cork (ENG), 10, 66.42, 8.571, 0.00000]
[B Warnapura (SL), 15, 43.37, 15.000, 8.33333]
[TC Bastiampillai (CAN), 13.46, 58.13, 13.462, 0.00000]
[DK Morrison (NZ), 9, 42.75, 3.977, 0.00000]
[D Bau (PNG), 18.88, 53.29, 17.000, 0.00000]
[J Smits (NL), 16.9, 46.94, 8.895, 0.00000]
[AR Whittall (ZIM), 7.63, 54.19, 4.800, 0.00000]
[RS Gabriel (WI), 15.18, 46.38, 15.182, 0.00000]
[A McGrath (ENG), 16.6, 47.02, 13.833, 8.33333]
[TL Chatara (ZIM), 6.6, 49.1, 3.667, 0.00000]
[Khurram Chohan (CAN), 12.69, 57.89, 8.684, 0.00000]
[GAHM Parkar (INDIA), 18.33, 49.69, 16.500, 0.00000]
[D Bishoo (WI), 10.93, 62.35, 6.560, 0.00000]
[RR Powar (INDIA), 11.64, 62.69, 8.579, 5.26316]
[MV Nagamootoo (WI), 13.5, 60, 9.000, 0.00000]
[CD Cumming (NZ), 13.41, 53.48, 12.385, 0.00000]
[SC Joseph (WI), 16.1, 53.31, 14.636, 9.09091]
[JJ Martin (INDIA), 22.57, 47.73, 19.750, 0.00000]
[PM Seelaar (NL), 11.07, 63.52, 6.458, 0.00000]
[CJ Richards (ENG), 11.84, 58.33, 9.625, 6.25000]
[BB Chari (ZIM), 13.63, 45.18, 13.636, 0.00000]
[NA Foster (ENG), 11.53, 61.47, 6.000, 0.00000]
[D Williams (WI), 9.18, 60.74, 6.391, 0.00000]
[R Clarke (ENG), 11.07, 62.06, 11.077, 0.00000]
[Abdur Rehman (PAK), 8.35, 53.99, 6.174, 0.00000]
[A Nehra (Asia/INDIA), 5.64, 57.31, 3.065, 0.00000]
[Shahid Saeed (PAK), 14.1, 44.62, 14.100, 10.00000]
[HMRKB Herath (SL), 9.33, 64.51, 4.667, 0.00000]
[Rubel Hossain (BDESH), 5, 56.22, 2.692, 0.00000]
[JM Wiener (AUS), 20, 43.2, 20.000, 14.28571]
[EAR de Silva (SL), 9.85, 57.26, 6.900, 0.00000]
[RM Hogg (AUS), 9.13, 63.13, 3.914, 0.00000]
[ST Finn (ENG), 8, 60.98, 4.533, 0.00000]
