[Name, Average, StrikeRate, AveragePerInnings, PercentageOfScoring50]
[SR Tendulkar (INDIA), 44.83, 86.23, 40.765, 21.23894]
[KC Sangakkara (Asia/ICC/SL), 41.98, 78.86, 37.458, 24.47368]
[RT Ponting (AUS/ICC), 42.03, 80.39, 37.545, 22.46575]
[ST Jayasuriya (Asia/SL), 32.36, 91.2, 31.016, 15.70439]
[DPMD Jayawardene (Asia/SL), 33.37, 78.96, 30.263, 18.42105]
[Inzamam-ul-Haq (Asia/PAK), 39.52, 74.24, 33.540, 23.71429]
[V Kohli (INDIA), 59.84, 93.28, 49.824, 23.60515]
[JH Kallis (Afr/ICC/SA), 44.36, 72.89, 36.876, 27.38854]
[SC Ganguly (Asia/INDIA), 41.02, 73.7, 37.877, 24.00000]
[R Dravid (Asia/ICC/INDIA), 39.16, 71.24, 34.242, 26.10063]
[MS Dhoni (Asia/INDIA), 50.57, 87.56, 36.273, 24.57912]
[CH Gayle (ICC/WI), 37.83, 87.19, 35.646, 18.36735]
[BC Lara (ICC/WI), 40.48, 79.51, 36.003, 21.79931]
[TM Dilshan (SL), 39.27, 86.23, 33.960, 15.51155]
[Mohammad Yousuf (Asia/PAK), 41.71, 75.1, 35.604, 23.44322]
[AC Gilchrist (AUS/ICC), 35.89, 96.94, 34.477, 19.71326]
[AB de Villiers (Afr/SA), 53.5, 101.09, 43.931, 24.31193]
[M Azharuddin (INDIA), 36.92, 74.02, 30.448, 18.83117]
[PA de Silva (SL), 34.9, 81.13, 31.365, 21.62162]
[RG Sharma (INDIA), 49.14, 88.88, 41.794, 20.09346]
[Saeed Anwar (PAK), 39.21, 80.67, 36.164, 17.62295]
[S Chanderpaul (WI), 41.6, 70.74, 34.972, 23.50598]
[Yuvraj Singh (Asia/INDIA), 36.55, 87.67, 31.299, 18.70504]
[DL Haynes (WI), 41.37, 63.09, 36.489, 24.05063]
[MS Atapattu (SL), 37.57, 67.72, 32.931, 22.77992]
[ME Waugh (AUS), 39.35, 76.9, 36.017, 21.18644]
[LRPL Taylor (NZ), 47.86, 83, 39.509, 23.58491]
[V Sehwag (Asia/ICC/INDIA), 35.05, 104.33, 33.767, 15.51020]
